city,date,official_heatwave,extreme_heat,local_max_percentile,cell
madrid,2022-01-15,False,False,29.589041095890412,neither
madrid,2022-02-09,False,False,49.589041095890416,neither
madrid,2022-03-07,False,False,17.26027397260274,neither
madrid,2022-04-10,False,False,39.726027397260275,neither
madrid,2022-05-12,False,False,64.93150684931507,neither
madrid,2022-06-05,False,False,75.34246575342466,neither
madrid,2022-06-06,False,False,77.26027397260275,neither
madrid,2022-07-02,False,False,88.4931506849315,neither
madrid,2022-07-05,False,False,85.47945205479452,neither
madrid,2022-07-10,True,True,98.35616438356163,both
madrid,2022-07-14,True,True,99.72602739726028,both
madrid,2022-07-18,True,True,96.7123287671233,both
madrid,2022-07-20,True,True,93.97260273972603,both
madrid,2022-07-22,True,True,93.69863013698631,both
madrid,2022-07-25,True,True,93.15068493150685,both
madrid,2022-07-31,True,True,97.26027397260275,both
madrid,2022-08-03,True,True,93.42465753424658,both
madrid,2022-08-06,True,True,90.95890410958904,both
madrid,2022-08-10,True,True,90.41095890410958,both
madrid,2022-08-14,True,False,80.82191780821918,official_only
madrid,2022-08-20,False,False,89.31506849315069,neither
madrid,2022-08-27,False,False,81.64383561643835,neither
madrid,2022-09-23,False,False,68.4931506849315,neither
madrid,2022-10-28,False,False,61.369863013698634,neither
madrid,2022-11-14,False,False,21.095890410958905,neither
madrid,2022-12-25,False,False,16.164383561643834,neither
murcia,2022-01-15,False,False,28.21917808219178,neither
murcia,2022-02-09,False,False,21.643835616438356,neither
murcia,2022-03-07,False,False,16.164383561643834,neither
murcia,2022-04-10,False,False,23.28767123287671,neither
murcia,2022-05-12,False,False,50.136986301369866,neither
murcia,2022-06-05,False,False,78.63013698630137,neither
murcia,2022-06-06,False,False,74.52054794520548,neither
murcia,2022-07-02,False,False,72.6027397260274,neither
murcia,2022-07-05,False,False,79.17808219178082,neither
murcia,2022-07-10,True,False,79.72602739726027,official_only
murcia,2022-07-14,True,True,96.7123287671233,both
murcia,2022-07-18,True,True,92.87671232876711,both
murcia,2022-07-20,True,False,86.57534246575342,official_only
murcia,2022-07-22,True,True,97.53424657534246,both
murcia,2022-07-25,True,True,100.0,both
murcia,2022-07-31,True,False,89.86301369863014,official_only
murcia,2022-08-03,True,True,91.5068493150685,both
murcia,2022-08-06,True,False,87.12328767123287,official_only
murcia,2022-08-10,True,False,81.64383561643835,official_only
murcia,2022-08-14,True,True,99.17808219178083,both
murcia,2022-08-20,False,False,80.54794520547945,neither
murcia,2022-08-27,False,False,74.24657534246575,neither
murcia,2022-09-23,False,False,64.38356164383562,neither
murcia,2022-10-28,False,False,60.82191780821918,neither
murcia,2022-11-14,False,False,50.68493150684932,neither
murcia,2022-12-25,False,False,45.20547945205479,neither
palma_de_mallorca,2022-01-15,False,False,22.465753424657535,neither
palma_de_mallorca,2022-02-09,False,False,25.47945205479452,neither
palma_de_mallorca,2022-03-07,False,False,12.054794520547945,neither
palma_de_mallorca,2022-04-10,False,False,24.383561643835616,neither
palma_de_mallorca,2022-05-12,False,False,53.15068493150685,neither
palma_de_mallorca,2022-06-05,False,False,78.63013698630137,neither
palma_de_mallorca,2022-06-06,False,False,71.78082191780823,neither
palma_de_mallorca,2022-07-02,False,False,73.97260273972603,neither
palma_de_mallorca,2022-07-05,False,False,89.04109589041096,neither
palma_de_mallorca,2022-07-10,True,True,91.78082191780823,both
palma_de_mallorca,2022-07-14,True,False,83.83561643835617,official_only
palma_de_mallorca,2022-07-18,True,True,97.53424657534246,both
palma_de_mallorca,2022-07-20,True,True,95.06849315068493,both
palma_de_mallorca,2022-07-22,True,False,89.86301369863014,official_only
palma_de_mallorca,2022-07-25,True,True,90.68493150684932,both
palma_de_mallorca,2022-07-31,True,True,96.43835616438356,both
palma_de_mallorca,2022-08-03,True,True,90.95890410958904,both
palma_de_mallorca,2022-08-06,True,True,99.17808219178083,both
palma_de_mallorca,2022-08-10,True,True,93.97260273972603,both
palma_de_mallorca,2022-08-14,True,True,99.72602739726028,both
palma_de_mallorca,2022-08-20,False,False,76.71232876712328,neither
palma_de_mallorca,2022-08-27,False,False,86.02739726027397,neither
palma_de_mallorca,2022-09-23,False,False,66.3013698630137,neither
palma_de_mallorca,2022-10-28,False,False,68.4931506849315,neither
palma_de_mallorca,2022-11-14,False,False,36.71232876712329,neither
palma_de_mallorca,2022-12-25,False,False,40.821917808219176,neither
sevilla,2022-01-15,False,False,20.82191780821918,neither
sevilla,2022-02-09,False,False,38.9041095890411,neither
sevilla,2022-03-07,False,False,16.71232876712329,neither
sevilla,2022-04-10,False,False,45.47945205479452,neither
sevilla,2022-05-12,False,False,64.65753424657534,neither
sevilla,2022-06-05,False,False,76.16438356164383,neither
sevilla,2022-06-06,False,False,83.56164383561644,neither
sevilla,2022-07-02,False,False,82.46575342465754,neither
sevilla,2022-07-05,False,False,73.15068493150685,neither
sevilla,2022-07-10,True,True,96.7123287671233,both
sevilla,2022-07-14,True,True,99.45205479452055,both
sevilla,2022-07-18,True,False,83.28767123287672,official_only
sevilla,2022-07-20,True,True,95.06849315068493,both
sevilla,2022-07-22,True,True,98.35616438356163,both
sevilla,2022-07-25,True,True,99.17808219178083,both
sevilla,2022-07-31,True,True,97.80821917808218,both
sevilla,2022-08-03,True,False,89.86301369863014,official_only
sevilla,2022-08-06,True,False,81.0958904109589,official_only
sevilla,2022-08-10,True,False,79.72602739726027,official_only
sevilla,2022-08-14,True,False,84.38356164383562,official_only
sevilla,2022-08-20,False,True,92.32876712328768,local_only
sevilla,2022-08-27,False,False,84.10958904109589,neither
sevilla,2022-09-23,False,False,78.63013698630137,neither
sevilla,2022-10-28,False,False,62.73972602739726,neither
sevilla,2022-11-14,False,False,24.383561643835616,neither
sevilla,2022-12-25,False,False,20.54794520547945,neither
valencia,2022-01-15,False,False,21.91780821917808,neither
valencia,2022-02-09,False,False,28.767123287671232,neither
valencia,2022-03-07,False,False,4.383561643835616,neither
valencia,2022-04-10,False,False,16.986301369863014,neither
valencia,2022-05-12,False,False,46.02739726027397,neither
valencia,2022-06-05,False,False,81.36986301369863,neither
valencia,2022-06-06,False,False,72.05479452054794,neither
valencia,2022-07-02,False,False,69.58904109589041,neither
valencia,2022-07-05,False,False,76.71232876712328,neither
valencia,2022-07-10,True,False,78.63013698630137,official_only
valencia,2022-07-14,True,True,91.78082191780823,both
valencia,2022-07-18,True,True,91.5068493150685,both
valencia,2022-07-20,True,False,82.1917808219178,official_only
valencia,2022-07-22,True,True,94.24657534246576,both
valencia,2022-07-25,True,True,98.63013698630137,both
valencia,2022-07-31,True,True,93.42465753424658,both
valencia,2022-08-03,True,True,98.35616438356163,both
valencia,2022-08-06,True,False,89.31506849315069,official_only
valencia,2022-08-10,True,False,87.12328767123287,official_only
valencia,2022-08-14,True,True,99.72602739726028,both
valencia,2022-08-20,False,False,85.47945205479452,neither
