month,heat_benefit_mean,cold_cost_mean
1,0.0,32918.65450504973
2,0.0,18214.08717775896
3,0.0,172924.73527035248
4,10377.037055089466,11469.902678642422
5,140943.05552539846,1199.4946885844402
6,392472.98916533386,2226.437630887034
7,485510.3288833414,0.0
8,501706.9343970777,84.13698425789401
9,228820.4073938152,25.610251195247244
10,98308.69717767618,848.0355048077888
11,7648.514173239814,55462.45702161579
12,3188.420759237091,60979.61219478102
