hour,solar_elevation_deg,mean_building_shadow_fraction,mean_tree_effective_frac,person_hours,ambient_utci_c,adjusted_utci_c_BT,cold_dose_contribution_0,date,phenology
0,-65.9310896256927,0.0,0.0,6068.089618062108,3.760772943496704,3.760772705078125,31792.100754983046,2022-02-08,evergreen
1,-62.995403604653895,0.0,0.0,10023.924744037016,4.074981689453125,4.074981689453125,49368.012907926204,2022-02-08,evergreen
2,-55.06266409820068,0.0,0.0,7714.923682632676,3.2950439453125,3.2950439453125,44013.300574687266,2022-02-08,evergreen
3,-44.775722532031544,0.0,0.0,5651.863380607865,1.805877685546875,1.805877685546875,40660.19646467152,2022-02-08,evergreen
4,-33.53878628399208,0.0,0.0,4860.08025380879,0.1193542554974556,0.119354248046875,43160.651060138305,2022-02-08,evergreen
5,-22.00142117856595,0.0,0.0,5782.483950865194,-0.8590087890625,-0.8590087890625,57009.5600941928,2022-02-08,evergreen
6,-10.535217387198601,0.0,0.0,10685.599834690305,-1.5677490234375,-1.5677490234375,112922.7372178924,2022-02-08,evergreen
7,0.5613753116523132,0.2471401564776781,0.031815013078524045,23164.778460219313,1.015350341796875,-0.6380206874977054,184962.64041474124,2022-02-08,evergreen
8,10.961837187944893,0.11322114317967673,0.08857921337758108,35066.061165849045,6.986480236053467,5.799223201858129,70606.19048039411,2022-02-08,evergreen
9,20.23927172181365,0.06382603595795094,0.1356601118145889,39958.99967300588,11.267608642578125,10.090998652912663,0.0,2022-02-08,evergreen
10,27.80992634487673,0.04169439003338727,0.16793720181663832,40305.409071859234,12.866055488586426,11.624236975900633,0.0,2022-02-08,evergreen
11,32.938058727331445,0.03356267243054632,0.1855865644341675,41367.74910828189,14.630339622497559,13.329547587841239,0.0,2022-02-08,evergreen
12,34.907788192003444,0.031962066167860126,0.1870982120603476,42132.93996620778,15.375123023986816,14.073917457754321,0.0,2022-02-08,evergreen
13,33.37880289055197,0.03227931203077718,0.17239816047031048,45253.63072411029,15.674560546875,14.458923818512545,0.0,2022-02-08,evergreen
14,28.618845406881437,0.04257521395193525,0.1421831657948355,48040.69188630311,16.150270462036133,15.053927585977135,0.0,2022-02-08,evergreen
15,21.317465877800178,0.05953270413702071,0.0977874837132373,50045.332812756045,15.96636962890625,15.033798517257212,0.0,2022-02-08,evergreen
16,12.222176827465193,0.09515098750304803,0.041911890978559095,48236.07073232456,14.99578857421875,14.181546505901245,0.0,2022-02-08,evergreen
17,1.9387625457789506,0.19690168739790156,0.0,48373.290928853574,10.8807373046875,9.699327180300092,0.0,2022-02-08,evergreen
18,-9.088414313598582,0.0,0.0,51285.768301706616,1.91888427734375,1.91888427734375,363160.46026972024,2022-02-08,evergreen
19,-20.523770361817327,0.0,0.0,53129.03082126094,1.35333251953125,1.35333251953125,406260.0322497579,2022-02-08,evergreen
20,-32.06989369445109,0.0,0.0,48550.50798406308,1.191802978515625,1.191802978515625,379091.9318327147,2022-02-08,evergreen
21,-43.37257395020488,0.0,0.0,43432.63913127963,1.1551513671875,1.1551513671875,340722.4797084577,2022-02-08,evergreen
22,-53.83667014937339,0.0,0.0,37753.235973279334,1.7940064668655396,1.79400634765625,272049.57877888664,2022-02-08,evergreen
23,-62.19377593327059,0.0,0.0,29668.030976411406,2.072265625,2.072265625,205532.2380338501,2022-02-08,evergreen
0,-65.9310896256927,0.0,0.0,6068.089618062108,3.760772943496704,3.760772705078125,31792.100754983046,2022-02-08,deciduous
1,-62.995403604653895,0.0,0.0,10023.924744037016,4.074981689453125,4.074981689453125,49368.012907926204,2022-02-08,deciduous
2,-55.06266409820068,0.0,0.0,7714.923682632676,3.2950439453125,3.2950439453125,44013.300574687266,2022-02-08,deciduous
3,-44.775722532031544,0.0,0.0,5651.863380607865,1.805877685546875,1.805877685546875,40660.19646467152,2022-02-08,deciduous
4,-33.53878628399208,0.0,0.0,4860.08025380879,0.1193542554974556,0.119354248046875,43160.651060138305,2022-02-08,deciduous
5,-22.00142117856595,0.0,0.0,5782.483950865194,-0.8590087890625,-0.8590087890625,57009.5600941928,2022-02-08,deciduous
6,-10.535217387198601,0.0,0.0,10685.599834690305,-1.5677490234375,-1.5677490234375,112922.7372178924,2022-02-08,deciduous
7,0.5613753116523132,0.2471401564776781,0.0,23164.778460219313,1.015350341796875,-0.46749059706919366,184962.64041474124,2022-02-08,deciduous
8,10.961837187944893,0.11322114317967673,0.0,35066.061165849045,6.986480236053467,6.307153853812565,70606.19048039411,2022-02-08,deciduous
9,20.23927172181365,0.06382603595795094,0.0,39958.99967300588,11.267608642578125,10.884652426830419,0.0,2022-02-08,deciduous
10,27.80992634487673,0.04169439003338727,0.0,40305.409071859234,12.866055488586426,12.615892009409052,0.0,2022-02-08,deciduous
11,32.938058727331445,0.03356267243054632,0.0,41367.74910828189,14.630339622497559,14.428964541588597,0.0,2022-02-08,deciduous
12,34.907788192003444,0.031962066167860126,0.0,42132.93996620778,15.375123023986816,15.183349673305338,0.0,2022-02-08,deciduous
13,33.37880289055197,0.03227931203077718,0.0,45253.63072411029,15.674560546875,15.480884674690335,0.0,2022-02-08,deciduous
14,28.618845406881437,0.04257521395193525,0.0,48040.69188630311,16.150270462036133,15.894817270975887,0.0,2022-02-08,deciduous
15,21.317465877800178,0.05953270413702071,0.0,50045.332812756045,15.96636962890625,15.609173404084125,0.0,2022-02-08,deciduous
16,12.222176827465193,0.09515098750304803,0.0,48236.07073232456,14.99578857421875,14.424882649200462,0.0,2022-02-08,deciduous
17,1.9387625457789506,0.19690168739790156,0.0,48373.290928853574,10.8807373046875,9.699327180300092,0.0,2022-02-08,deciduous
18,-9.088414313598582,0.0,0.0,51285.768301706616,1.91888427734375,1.91888427734375,363160.46026972024,2022-02-08,deciduous
19,-20.523770361817327,0.0,0.0,53129.03082126094,1.35333251953125,1.35333251953125,406260.0322497579,2022-02-08,deciduous
20,-32.06989369445109,0.0,0.0,48550.50798406308,1.191802978515625,1.191802978515625,379091.9318327147,2022-02-08,deciduous
21,-43.37257395020488,0.0,0.0,43432.63913127963,1.1551513671875,1.1551513671875,340722.4797084577,2022-02-08,deciduous
22,-53.83667014937339,0.0,0.0,37753.235973279334,1.7940064668655396,1.79400634765625,272049.57877888664,2022-02-08,deciduous
23,-62.19377593327059,0.0,0.0,29668.030976411406,2.072265625,2.072265625,205532.2380338501,2022-02-08,deciduous
0,-73.68655648031925,0.0,0.0,6068.089618062108,8.97161865234375,8.97161865234375,172.22056105950196,2022-12-25,evergreen
1,-68.1043179844373,0.0,0.0,10023.924744037016,8.81390380859375,8.81390380859375,1865.4142178081584,2022-12-25,evergreen
2,-58.21045456941522,0.0,0.0,7714.923682632676,8.59735107421875,8.59735107421875,3106.405733296372,2022-12-25,evergreen
3,-47.00556257865957,0.0,0.0,5651.863380607865,8.607269287109375,8.607269287109375,2219.6603346265447,2022-12-25,evergreen
4,-35.46727525460364,0.0,0.0,4860.08025380879,8.73291015625,8.73291015625,1298.07807560225,2022-12-25,evergreen
5,-24.000557475333157,0.0,0.0,5782.483950865194,8.64874267578125,8.64874267578125,2031.1398399187738,2022-12-25,evergreen
6,-12.871551257345672,0.0,0.0,10685.599834690305,8.368988037109375,8.368988037109375,6742.741326351668,2022-12-25,evergreen
7,-2.3404650958930864,0.0,0.014134914199069322,23164.778460219313,8.04901123046875,7.964201745274333,22029.444164347966,2022-12-25,evergreen
8,7.275602538430253,0.1423472298042426,0.06560766567361005,35066.061165849045,12.331175804138184,11.10590142581594,0.0,2022-12-25,evergreen
9,15.56072467336594,0.08472434376570324,0.1076349945064298,39958.99967300588,16.106569290161133,14.974339778576377,0.0,2022-12-25,evergreen
10,21.98497444412209,0.05265943063002114,0.13532157163304287,40305.409071859234,18.564577102661133,17.453854418458086,0.0,2022-12-25,evergreen
11,25.9586987418651,0.047994104341315055,0.14862623565226854,41367.74910828189,20.066162109375,18.902623264976807,0.0,2022-12-25,evergreen
12,27.00194870909973,0.04467742462630752,0.14638951518364612,42132.93996620778,21.20904541015625,20.077336553111163,0.0,2022-12-25,evergreen
13,24.97013214152494,0.050895769502542494,0.12874595435742914,45253.63072411029,21.941375732421875,20.8776550556474,0.0,2022-12-25,evergreen
