date,canopy_type,heat_benefit_tree_only_v2,cold_cost_tree_only_v2,heat_benefit_combined_v2,cold_cost_combined_v2,mean_building_shadow_fraction,n_edge_hours
2022-02-08,evergreen,0.0,15956.377125523519,0.0,216221.8493734859,0.043720037982925126,1934453
2022-02-08,deciduous,0.0,0.0,0.0,201612.63621223718,0.043720037982925126,1934453
2022-07-14,evergreen,337811.37643824937,0.0,575845.9492113739,0.0,0.034138649741789616,1934453
2022-07-14,deciduous,337811.37643824937,0.0,575845.9492113739,0.0,0.034138649741789616,1934453
2022-07-02,evergreen,272717.45912532555,0.0,398349.12948206,0.0,0.032178881217413254,1934453
2022-07-02,deciduous,272717.45912532555,0.0,398349.12948206,0.0,0.032178881217413254,1934453
2022-12-25,evergreen,0.0,1224.443405221682,0.0,18948.327375859255,0.03474250544041727,1934453
2022-12-25,deciduous,0.0,0.0,0.0,17610.249885800033,0.03474250544041727,1934453
