source,mean_canopy_fraction,marginal_vs_previous_abs,marginal_vs_previous_pct,pearson_corr_vs_previous,spearman_rank_corr_vs_previous,pct_edges_changed_vs_previous
worldcover_v1,0.2637667254629525,,,,,
worldcover_v2,0.26398016868003227,0.00021344321707977842,0.08092120668562408,0.9974650055449326,0.9890915225405781,44.80940272726298
stl,0.02344309040306143,-0.24053707827697085,-91.11937441350887,0.3108105879257582,0.35322153318832356,56.40134324675186
fused,0.2772387209818907,0.25379563057882926,1082.6031304545331,0.38254369306549624,0.45665138966730523,56.422800862596155
