mode,date,tree_heat_benefit_given_buildings,building_heat_benefit,person_hours
walk,2022-07-14,307820.0291734403,230753.97315001814,732059.9120077868
bike,2022-07-14,23378.6111211995,13994.628308537474,44491.22117468889
