city,transit_share_real,car_share_target,old_shift,old_predicted_car_share,new_shift,new_predicted_car_share,residual
a_coruna,0.1215,0.4921,1.855032,0.3924930953290127,1.2634856422899874,0.49210000001022464,1.022465445643661e-11
barcelona,0.2305,0.1967,3.869481,0.14642348296987648,3.3529094605374423,0.19669999998917995,-1.0820067064543082e-11
bilbao,0.202,0.315,2.832723,0.23086674425864706,2.1764711736171596,0.31500000000104345,1.0434431096939534e-12
madrid,0.243,0.39,2.565154,0.30481056715307814,1.8872806624961593,0.38999999999962814,-3.718692020981962e-13
palma_de_mallorca,0.072,0.528,2.242625,0.43235302010654886,1.6711452139742808,0.5279999996659572,-3.340427934261925e-10
valencia,0.136,0.413,2.312564,0.3272298463846347,1.7481350236790991,0.4130000043030577,4.303057743459959e-09
valladolid,0.131,0.3,3.007748,0.216696676995471,2.4288882087462786,0.2999999859613526,-1.4038647411229732e-08
zaragoza,0.153,0.427,2.154417,0.3333468779129723,1.5587220941872009,0.42700000000053334,5.333511410299252e-13
