edge_id,flow_veh_h
0,106.57750437894737
1,306.1397615684211
4,170.71994249473684
5,358.1419216105263
6,6.315789473684211
7,241.31835817894736
8,133.3679840736842
9,10.057953852631579
11,133.36798406315788
12,56.64006865263158
13,30.468956852631575
14,6.315789473684211
16,4.003730789473684
18,1.188693
23,5.473548663157895
25,3.3436060842105264
29,6.315789473684211
31,0.26302526315789476
36,0.8007461578947369
37,1.6581663789473686
38,0.9677467789473685
39,1.105444252631579
40,5.865769705263157
42,3.910513136842105
43,26.31578947368421
44,1.1963712210526316
45,31.57894736842105
46,5.280020147368421
48,4.400016789473685
49,7.409522273684211
51,4.939681515789474
52,26.31578947368421
54,21.05263157894737
55,26.31578947368421
57,21.05263157894737
58,26.31578947368421
60,47.36842105263158
61,26.31578947368421
64,47.36842105263158
65,10.526315789473685
67,47.36842105263158
68,47.36842105263158
70,26.31578947368421
71,37.27280791578947
73,11.949780926315789
74,3.1374929157894735
76,4.183323884210527
77,476.9129960315789
78,201.70549319999998
79,3.255307494736842
83,0.47565962105263154
84,3.566079
85,0.47565962105263154
88,26.31578947368421
89,1.086554589473684
91,0.543277294736842
95,1.1608902
97,0.6619485578947368
99,2.9610216631578945
105,315.7894736842105
106,31.57894736842105
108,315.7894736842105
110,145.4279451368421
111,200.0
112,178.98824016842107
113,632.6731857052631
114,4.665440610526316
115,106.16078589473683
116,316.17750821052636
117,5.835746684210527
118,0.43525663157894734
119,187.08462684210528
120,183.71882313684213
122,31.67565915789474
123,272.9779400421053
125,209.82004530526316
126,353.35538268421055
128,300.30084294736844
129,126.05442667368422
130,36.760477515789475
131,117.05053905263158
132,189.47368421052633
133,10.422420315789473
134,126.3157894736842
135,112.08421567368421
136,1.2997422842105262
137,14.619680305263158
138,34.83849356842106
140,31.671357789473685
141,106.54046561052631
143,40.977102157894734
144,111.73728868421053
145,18.649356084210524
147,168.42105263157896
148,1785.2631578947369
149,33.68421052631579
150,125.01115982105263
151,336.8421052631579
152,74.4643044
153,694.7368421052631
154,35.0420256
155,112.34626080000001
157,93.62188400000001
158,37.640368
160,6.264924063157895
161,42.345414
162,16.98605505263158
165,5.0958165157894735
166,207.38462257894736
167,67.36842105263158
168,187.95008165263158
169,162.01061368421054
170,315.7894736842105
172,252.6315789473684
173,294.7368421052632
174,18.94736842105263
175,315.7894736842105
176,265.02300564210526
177,4.2538397473684215
179,219.0981187368421
180,235.56375103157896
181,3.7888386
182,153.53372875789475
183,12.631578947368421
184,515.3105649368421
185,633.7813207894736
186,252.6315789473684
187,112.61666455789474
188,125.75517707368421
189,631.578947368421
190,368.42105263157896
192,252.6315789473684
193,21.615324294736844
194,210.52631578947367
195,18.91340875789474
196,10.599739452631578
198,7.066492968421052
199,24.662772389473684
200,1.4414749999999998
202,15.414232736842106
203,9.14737202105263
205,11.760906884210526
206,68.90290273684211
208,27.561161094736843
209,27.90157281052631
211,55.803145642105264
212,210.52631578947367
214,189.47368421052633
215,191.8313322736842
217,57.648067442105265
218,153.38850484210528
220,159.10228593684212
221,511.96455350526315
222,1467.696381642105
223,722.7238739263157
224,513.3870066526316
225,617.6687423789474
226,68.67299292631579
227,0.5813514736842105
228,92.99467873684212
229,1515.7894736842106
231,1313.6842105263158
232,284.60081585263157
234,438.96057702105264
235,76.28647971578947
236,1.7930946736842106
237,105.52963029473683
238,76.22281149473685
239,1.7344930421052631
240,119.77870294736843
241,864.6078330947369
242,6.315789473684211
243,921.6857910526315
244,55.786651084210526
247,82.46722325263158
248,142.12011703157896
250,167.74833357894735
251,81.12265877894737
253,107.24690434736841
254,96.90016422105262
256,222.42992326315792
257,94.83690627368422
258,2.521443978947368
259,141.32558584210526
260,143.40447742105263
262,148.4362134
263,128.7303588
265,169.3820510736842
266,127.80622755789474
268,196.82159045263157
269,87.31196989473683
271,127.60980236842104
272,47.50083645263158
273,0.5010531368421053
274,6.694726736842106
275,67.36842105263158
276,1549.4736842105262
277,410.5263157894737
278,842.1052631578947
279,1987.3684210526317
280,437.89473684210526
281,943.1578947368421
282,1953.6842105263158
283,1044.2105263157894
284,1886.3157894736842
285,202.10526315789474
286,1448.421052631579
287,442.10526315789474
288,707.3684210526316
289,1987.3684210526317
290,370.5263157894737
291,1010.5263157894736
292,1515.7894736842106
293,538.9473684210526
294,1920.0
295,583.5030595894737
296,1717.8947368421052
297,10.71167665263158
298,44.21052631578947
299,14.282235536842107
300,47.36842105263158
302,21.05263157894737
303,15.789473684210526
305,10.526315789473685
306,6.388532157894736
308,3.833119294736842
309,8.50197174736842
314,8.50197174736842
315,26.31578947368421
317,15.789473684210526
318,5.2631578947368425
321,5.2631578947368425
325,5.827778063157894
326,1.9749131052631579
328,7.8996524210526315
329,4.637836968421053
332,2.3189184842105264
333,5.2631578947368425
335,5.2631578947368425
338,10.526315789473685
339,3.451374894736842
341,3.451374894736842
345,2.7315638526315786
346,5.2631578947368425
350,5.2631578947368425
351,4.120710515789473
354,2.511066
356,5.2631578947368425
358,2.371921905263158
360,44.21052631578947
362,8.421052631578947
363,50.526315789473685
364,37.89473684210526
365,4.669905494736843
366,40.73718713684211
368,25.263157894736842
369,28.415604463157894
371,44.21052631578947
372,82.10526315789474
373,82.10526315789474
375,82.10526315789474
376,23.22304172631579
377,63.75739167368421
379,107.36842105263158
381,94.73684210526316
383,12.631578947368421
384,10.451933200000001
385,6.315789473684211
387,6.315789473684211
388,1.8018884
390,4.757156852631579
391,2.5795138736842107
392,11.239492968421052
394,3.3800257684210524
395,6.315789473684211
401,6.315789473684211
402,1.9602881157894738
407,2.4344291263157896
408,25.263157894736842
409,16.613071789473683
410,210.52631578947367
412,8.421052631578947
413,235.78947368421052
414,244.21052631578948
416,294.7368421052632
418,176.8421052631579
420,2.8837212842105266
421,82.10526315789474
423,88.42105263157895
424,183.1578947368421
426,25.263157894736842
427,18.94736842105263
428,1446.3241094736843
430,31.489049652631582
431,603.2407097368421
432,1305.1627466631578
433,543.1578947368421
435,858.9473684210526
436,345.49798557894735
437,795.7894736842105
438,133.9868153368421
439,24.868817705263158
440,169.0999345894737
442,190.08765376842103
443,44.21052631578947
444,367.8300735263158
445,287.36842105263156
446,42.10526315789474
447,316.3485565368421
449,892.6315789473684
450,736.8421052631579
452,830.055499031579
453,139.56901552631578
454,25.811282515789475
455,12.96161294736842
456,269.25738071578945
457,45.609532031578944
458,448.84092825263156
459,610.0666708631579
460,1380.7530865157896
461,593.4436013052631
462,517.8947368421053
463,757.8947368421053
466,833.6842105263158
467,577.5456689578947
468,1822.3767475789475
470,538.9473684210526
471,1172.5206210105264
472,1364.1450555789474
473,34.292918610526314
475,105.26315789473684
487,1.3795871157894737
493,5.111666389473685
494,4.914227936842106
496,2.457113968421053
497,1.719064652631579
500,3.438129305263158
501,46.692916052631574
