vc_mid,flow_median,speed_median,road_class,road_class_label
0.01411610027221569,2887.721073096402,120.00000350706439,0,Motorway
0.06791495914646184,4017.422902267911,120.00000087695989,0,Motorway
0.12141077782484706,5147.1247314394195,119.99999824685538,0,Motorway
0.17320628964464296,7385.006221867741,100.00000514072575,0,Motorway
0.22155019477819402,9642.186744274175,99.999993975147,0,Motorway
0.27627748293435705,11072.243776360974,80.00000700749887,0,Motorway
0.3237497940660518,12437.6258641983,80.00000700749887,0,Motorway
0.3712767605638092,14474.643789594966,80.0000053093256,0,Motorway
0.426043864669747,14474.643789594966,80.0000033893736,0,Motorway
0.9919643098532875,15535.780251733857,74.83340691527151,0,Motorway
1.003270610432194,16596.91671387275,69.66681044116942,0,Motorway
0.017105970306253142,1598.7160533740237,40.000012554835145,2,Trunk
0.06666666666666667,2185.430706794066,45.000000518942656,2,Trunk
0.13333333333333333,2772.145360214108,49.99998848305016,2,Trunk
0.18344880826293125,3908.472265046533,49.99998848305016,2,Trunk
0.2222222222222222,4797.1443460733735,49.99999924328725,2,Trunk
0.26666666666666666,6033.28361460725,50.00000000203925,2,Trunk
0.3333333333333333,7229.894166399227,50.000003189145765,2,Trunk
0.3965553223166862,8591.044790366575,50.00000000203925,2,Trunk
0.4382969445748581,9314.496704269097,50.00000344457007,2,Trunk
0.4666666666666667,10383.25212925838,50.00000344457007,2,Trunk
0.5333333333333333,11869.70145136408,49.99999732179771,2,Trunk
0.5879325036784404,11892.658843389374,49.9999927675067,2,Trunk
0.6222222222222222,12261.410026958067,40.000009490882164,2,Trunk
0.6666666666666666,12757.44836857686,40.000006357664034,2,Trunk
0.7333333333333333,12757.44836857686,40.00000602835338,2,Trunk
0.7844332580244516,12757.44836857686,40.00000251712025,2,Trunk
0.8666666666666667,12574.468798551421,36.87910102033583,2,Trunk
0.9333333333333333,12532.085495677547,35.912274040983476,2,Trunk
0.9933579833843967,11950.22577755625,34.902364166147215,2,Trunk
1.016031865348988,6295.020059170249,17.526177761660346,2,Trunk
1.0666666666666667,57.95462266294984,0.14999135717347944,2,Trunk
0.02460916084423761,1568.1628101477559,80.00000121811104,4,Primary
0.075,2153.6749819843562,80.00000118369314,4,Primary
0.15,2739.187153820957,80.00000114927523,4,Primary
0.17515751288988352,3638.2099360321845,79.99999813654803,4,Primary
0.22499999999999998,5236.916654762379,79.99999813654803,4,Primary
0.3,5683.414848237036,79.99999668446188,4,Primary
0.3232004772958437,6498.868294296196,79.99999502653839,4,Primary
0.375,6611.700348294929,79.9999904048596,4,Primary
0.44999999999999996,7723.830161556782,79.9999904048596,4,Primary
0.47868455241163443,8693.135924021992,79.99998391875835,4,Primary
0.525,7723.830161556782,79.99997755596759,4,Primary
0.6,8995.777606885767,79.99996871629207,4,Primary
0.621417467594988,9607.565637687492,70.00001036717576,4,Primary
0.6749999999999999,9607.565637687492,59.999998986546295,4,Primary
0.75,10105.592032863526,59.99999050175589,4,Primary
0.7764469581981638,10586.424185274185,58.518423546585275,4,Primary
0.825,10105.592032863526,46.95510873727622,4,Primary
0.8999999999999999,10586.424185274185,45.53886761208959,4,Primary
0.927769434799055,10586.424185274185,45.10256610183396,4,Primary
0.975,9800.36720137221,44.566984744788954,4,Primary
1.05,9014.310217470234,44.03140338774396,4,Primary
0.02758175637854771,690.5575803598979,60.0000008486914,6,Secondary
0.07378793886508934,1034.865268155323,59.99999846850268,6,Secondary
0.12,1379.1729559507482,59.99999608831397,6,Secondary
0.17424342127127826,1729.5174093943062,59.99999608831397,6,Secondary
0.24,2410.5711580517764,59.99999607571206,6,Secondary
0.3,3054.3988434009716,50.00000918055631,6,Secondary
0.32,3095.9060082935885,50.00000918055631,6,Secondary
0.36,3931.5373730850592,50.00000538811879,6,Secondary
0.44999999999999996,4449.106197516658,50.00000178482977,6,Secondary
0.48,4748.290066005628,50.00000178482977,6,Secondary
0.5318156312778307,5130.602332713861,50.000000607937544,6,Secondary
0.6,5156.195905980451,49.99999996871695,6,Secondary
0.6236224874399877,5403.712891127493,49.99999996871695,6,Secondary
0.669858187320298,6410.427628943081,49.99999996871695,6,Secondary
0.7414179089562278,6416.521735462376,49.99999911581695,6,Secondary
0.7799999999999999,7401.826665080562,49.99999517839089,6,Secondary
0.84,7401.826665080562,45.5495777147854,6,Secondary
0.8999999999999999,7226.606302530416,44.66850175376039,6,Secondary
0.9275287055151085,7226.606302530416,37.66964479681282,6,Secondary
0.96,6663.859207463523,35.47980822057945,6,Secondary
1.0313392680663773,3362.7457114824833,17.883001568875574,6,Secondary
1.0799999999999998,61.6322155014438,0.2861949171716968,6,Secondary
0.03679394570714656,311.37935866231425,30.000002162917728,10,Residential
