vc_mid,flow_median,n,mode,road_class,road_class_label
0.01411610027221569,559.0298440799768,11621,car,0,Motorway
0.06791495914646184,2887.721073096402,2214,car,0,Motorway
0.12141077782484706,5147.1247314394195,881,car,0,Motorway
0.17320628964464296,7385.006221867741,479,car,0,Motorway
0.22155019477819402,9642.186744274175,315,car,0,Motorway
0.27627748293435705,11072.243776360974,204,car,0,Motorway
0.3237497940660518,12437.6258641983,158,car,0,Motorway
0.3712767605638092,14474.643789594966,144,car,0,Motorway
0.426043864669747,16596.91671387275,100,car,0,Motorway
0.9919643098532875,34581.80036902752,190,car,0,Motorway
1.003270610432194,157.74232618226603,816,car,0,Motorway
0.026287300643138237,261.5912157669745,5050,car,1,MotorwayLink
0.07472725057833786,769.8329825960009,2988,car,1,MotorwayLink
0.13438224684535818,1376.6382951711353,2215,car,1,MotorwayLink
0.17621503884863662,1858.5139167845232,894,car,1,MotorwayLink
0.2259164682391332,2403.374016669535,606,car,1,MotorwayLink
0.29853795240856873,3115.2735328273548,846,car,1,MotorwayLink
0.32325947288817886,3448.101286607,358,car,1,MotorwayLink
0.3804863350293573,3969.0996512510383,295,car,1,MotorwayLink
0.44999999999999996,4775.594740768394,458,car,1,MotorwayLink
0.47397014929211123,4937.246945925529,197,car,1,MotorwayLink
0.5294537745878992,5455.59110950811,160,car,1,MotorwayLink
0.5911921763473147,6258.644753065171,313,car,1,MotorwayLink
0.6284404304208816,6573.670763037429,141,car,1,MotorwayLink
0.6785408827347907,7009.124712187817,137,car,1,MotorwayLink
0.7462083833062594,7835.990778199742,215,car,1,MotorwayLink
0.899621464541467,8648.32242968877,188,car,1,MotorwayLink
0.9253279602352156,4109.847603777944,104,car,1,MotorwayLink
0.980188739865591,6822.805813268133,164,car,1,MotorwayLink
1.017102245655893,57.53043196048786,1845,car,1,MotorwayLink
1.0613750770258208,51.48745174284953,263,car,1,MotorwayLink
0.017105970306253142,409.2728960047803,8705,car,2,Trunk
0.06666666666666667,1598.7160533740237,3713,car,2,Trunk
0.13333333333333333,2772.145360214108,1813,car,2,Trunk
0.18344880826293125,3908.472265046533,1066,car,2,Trunk
0.2222222222222222,4797.1443460733735,531,car,2,Trunk
0.26666666666666666,6033.28361460725,684,car,2,Trunk
0.3333333333333333,7229.894166399227,486,car,2,Trunk
0.3965553223166862,8591.044790366575,464,car,2,Trunk
0.4382969445748581,9314.496704269097,193,car,2,Trunk
0.4666666666666667,10383.25212925838,278,car,2,Trunk
0.5333333333333333,11892.658843389374,237,car,2,Trunk
0.5879325036784404,11869.70145136408,232,car,2,Trunk
0.6222222222222222,12261.410026958067,132,car,2,Trunk
0.6666666666666666,13736.798916158532,187,car,2,Trunk
0.7333333333333333,12757.44836857686,196,car,2,Trunk
0.7844332580244516,14119.800168622998,204,car,2,Trunk
0.8666666666666667,11950.22577755625,155,car,2,Trunk
0.9333333333333333,12532.085495677547,149,car,2,Trunk
0.9933579833843967,12574.468798551421,225,car,2,Trunk
1.016031865348988,57.95462266294984,1289,car,2,Trunk
1.0666666666666667,39.537671174395484,564,car,2,Trunk
0.028736394908410342,229.12588411563803,1327,car,3,TrunkLink
0.07301061232541296,553.9480802929278,793,car,3,TrunkLink
0.15,1177.6501626629288,765,car,3,TrunkLink
0.17418910229418721,1408.8222569859454,166,car,3,TrunkLink
0.22185156403340875,1760.5960987146668,134,car,3,TrunkLink
0.3,3278.2884420298437,292,car,3,TrunkLink
0.44999999999999996,3652.2635831309863,200,car,3,TrunkLink
1.0285714285714287,51.5948997495691,747,car,3,TrunkLink
0.02460916084423761,506.6400455469401,57286,car,4,Primary
0.075,1568.1628101477559,43718,car,4,Primary
0.15,2739.187153820957,24029,car,4,Primary
0.17515751288988352,3638.2099360321845,5048,car,4,Primary
0.22499999999999998,5236.916654762379,8098,car,4,Primary
0.3,5683.414848237036,7301,car,4,Primary
0.3232004772958437,6498.868294296196,1500,car,4,Primary
0.375,8693.135924021992,2887,car,4,Primary
0.44999999999999996,7723.830161556782,3336,car,4,Primary
0.47868455241163443,6611.700348294929,637,car,4,Primary
0.525,11955.10972318771,1354,car,4,Primary
