density_mid,flow_median,n,mode
0.44831156281747864,2.5269339852862887,3577998,walk
6.872681656283582,33.91154315921995,286215,walk
12.087877475646273,59.8346559904019,120562,walk
17.20539850471979,85.31974427296055,69854,walk
22.269019346281755,110.57858635935519,47788,walk
27.337149858958746,135.997689641979,33540,walk
32.375399310751504,161.27278838833172,26409,walk
37.570192161740735,188.0,24180,walk
42.565816397239004,212.80001692457333,21644,walk
47.50786989940487,237.14341906223032,20176,walk
52.321121104340975,260.96329618804987,15884,walk
57.387976355899326,286.1486102130678,13377,walk
62.52668653440126,311.83355805873873,11261,walk
67.37037040248623,336.0,9308,walk
72.44296586727921,361.5760972221692,8309,walk
77.39689985197904,386.1346242631806,7377,walk
82.3722981875062,410.8422468381458,6416,walk
87.41193666370867,435.8171211486393,5845,walk
92.40825056519608,460.9139293508397,5270,walk
97.44057214715835,485.89486145377157,4548,walk
102.42007163971941,510.6530584388309,4147,walk
107.40485292383192,535.4988544886642,3662,walk
112.44683896736606,561.0315057540934,3400,walk
117.46090554754215,585.5965909633703,2766,walk
122.4725332033723,610.74535051571,2595,walk
127.53138760090813,635.6898258550299,2417,walk
132.38700680652397,659.5969836088021,2119,walk
137.31802979961313,684.2789399421215,2024,walk
142.4447301578916,710.3813209676412,1738,walk
0.13322675160939995,2.0,2877958,bike
6.501406163494005,91.59093669575121,41776,bike
